Date (MM/DD/YYYY),Time (HH:mm:ss),fDOM RFU,Turbidity FNU
8/3/2022,10:15:00,14.31,2.27
8/3/2022,10:15:01,14.3,2.34
8/3/2022,10:15:02,14.29,2.37
8/3/2022,10:15:03,14.29,2.44
8/3/2022,10:15:04,14.28,2.52
8/3/2022,10:15:05,14.27,2.59
8/3/2022,10:15:06,14.26,2.67
8/3/2022,10:15:07,14.24,2.84
8/3/2022,10:15:08,14.23,2.96
8/3/2022,10:15:09,14.22,3.07
8/3/2022,10:15:10,14.21,3.27
8/3/2022,10:15:11,14.2,3.4
8/3/2022,10:15:12,14.19,3.48
8/3/2022,10:15:13,14.18,3.56
8/3/2022,10:15:14,14.17,3.65
8/3/2022,10:15:15,14.16,3.75
8/3/2022,10:15:16,14.15,3.7
8/3/2022,10:15:17,14.14,3.73
8/3/2022,10:15:18,14.13,3.78
8/3/2022,10:15:19,14.12,3.72
8/3/2022,10:15:20,14.11,3.73
8/3/2022,10:15:21,14.1,3.74
8/3/2022,10:15:22,14.1,3.71
8/3/2022,10:15:23,14.09,3.7
8/3/2022,10:15:24,14.08,3.75
8/3/2022,10:15:25,14.07,3.72
8/3/2022,10:15:26,14.06,3.72
8/3/2022,10:15:27,14.06,3.74
8/3/2022,10:15:28,14.05,3.76
8/3/2022,10:15:29,14.05,3.81
8/3/2022,10:15:30,14.04,3.79
8/3/2022,10:15:31,14.04,3.78
8/3/2022,10:15:32,14.03,3.79
8/3/2022,10:15:33,14.03,3.8
8/3/2022,10:15:34,14.02,3.81
8/3/2022,10:15:35,14.01,3.83
8/3/2022,10:15:36,14.01,3.82
8/3/2022,10:15:37,14.01,3.8
8/3/2022,10:15:38,14.01,3.8
8/3/2022,10:15:39,14.01,3.74
8/3/2022,10:15:40,14.01,3.72
8/3/2022,10:15:41,14.01,3.67
8/3/2022,10:15:42,14.01,3.64
8/3/2022,10:15:43,14.01,3.58
8/3/2022,10:15:44,14.01,3.53
8/3/2022,10:15:45,14.01,3.53
8/3/2022,10:15:46,14.01,3.56
8/3/2022,10:15:47,14.01,3.53
8/3/2022,10:15:48,14.01,3.49
8/3/2022,10:15:49,14.01,3.51
8/3/2022,10:15:50,14.01,3.47
8/3/2022,10:15:51,14.02,3.46
8/3/2022,10:15:52,14.02,3.42
8/3/2022,10:15:53,14.02,3.37
8/3/2022,10:15:54,14.03,3.33
8/3/2022,10:15:55,14.03,3.31
8/3/2022,10:15:56,14.04,3.3
8/3/2022,10:15:57,14.04,3.27
8/3/2022,10:15:58,14.04,3.22
8/3/2022,10:15:59,14.05,3.19
8/3/2022,10:16:00,14.05,3.12
8/3/2022,10:16:01,14.05,3
8/3/2022,10:16:02,14.05,2.96
8/3/2022,10:16:03,14.05,2.95
8/3/2022,10:16:04,14.06,2.86
8/3/2022,10:16:05,14.06,2.81
8/3/2022,10:16:06,14.07,2.79
8/3/2022,10:16:07,14.07,2.77
8/3/2022,10:16:08,14.07,2.74
8/3/2022,10:16:09,14.08,2.73
8/3/2022,10:16:10,14.08,2.71
8/3/2022,10:16:11,14.08,2.66
8/3/2022,10:16:12,14.09,2.67
8/3/2022,10:16:13,14.09,2.66
8/3/2022,10:16:14,14.09,2.63
8/3/2022,10:16:15,14.09,2.63
8/3/2022,10:16:16,14.09,2.63
8/3/2022,10:16:17,14.09,2.63
8/3/2022,10:16:18,14.09,2.6
8/3/2022,10:16:19,14.09,2.6
8/3/2022,10:16:20,14.09,2.66
8/3/2022,10:16:21,14.09,2.69
8/3/2022,10:16:22,14.08,2.7
8/3/2022,10:16:23,14.08,2.72
8/3/2022,10:16:24,14.08,2.72
8/3/2022,10:16:25,14.08,2.72
8/3/2022,10:16:26,14.08,2.72
8/3/2022,10:16:27,14.08,2.71
8/3/2022,10:16:28,14.08,2.69
8/3/2022,10:16:29,14.08,2.71
8/3/2022,10:16:30,14.07,2.72
8/3/2022,10:16:31,14.07,2.71
8/3/2022,10:16:32,14.07,2.71
8/3/2022,10:16:33,14.07,2.69
8/3/2022,10:16:34,14.07,2.65
8/3/2022,10:16:35,14.07,2.59
8/3/2022,10:16:36,14.07,2.57
8/3/2022,10:16:37,14.07,2.5
8/3/2022,10:16:38,14.07,2.48
8/3/2022,10:16:39,14.07,2.45
8/3/2022,10:16:40,14.08,2.39
8/3/2022,10:16:41,14.08,2.38
8/3/2022,10:16:42,14.09,2.35
8/3/2022,10:16:43,14.09,2.37
8/3/2022,10:16:44,14.09,2.36
8/3/2022,10:16:45,14.09,2.33
8/3/2022,10:16:46,14.1,2.3
8/3/2022,10:16:47,14.1,2.32
8/3/2022,10:16:48,14.1,2.32
8/3/2022,10:16:49,14.1,2.33
8/3/2022,10:16:50,14.1,2.3
8/3/2022,10:16:51,14.1,2.29
8/3/2022,10:16:52,14.1,2.3
8/3/2022,10:16:53,14.1,2.29
8/3/2022,10:16:54,14.11,2.3
8/3/2022,10:16:55,14.11,2.32
8/3/2022,10:16:56,14.11,2.37
8/3/2022,10:16:57,14.11,2.36
8/3/2022,10:16:58,14.11,2.34
8/3/2022,10:16:59,14.1,2.32
8/3/2022,10:17:00,14.1,2.31
8/3/2022,10:17:01,14.1,2.31
8/3/2022,10:17:02,14.1,2.3
8/3/2022,10:17:03,14.11,2.29
8/3/2022,10:17:04,14.11,2.27
8/3/2022,10:17:05,14.11,2.26
8/3/2022,10:17:06,14.11,2.27
8/3/2022,10:17:07,14.1,2.31
8/3/2022,10:17:08,14.1,2.31
8/3/2022,10:17:09,14.1,2.32
8/3/2022,10:17:10,14.1,2.29
8/3/2022,10:17:11,14.1,2.25
8/3/2022,10:17:12,14.1,2.25
8/3/2022,10:17:13,14.1,2.24
8/3/2022,10:17:14,14.1,2.26
8/3/2022,10:17:15,14.1,2.25
8/3/2022,10:17:16,14.1,2.25
8/3/2022,10:17:17,14.11,2.26
8/3/2022,10:17:18,14.11,2.26
8/3/2022,10:17:19,14.11,2.24
8/3/2022,10:17:20,14.11,2.25
8/3/2022,10:17:21,14.11,2.24
8/3/2022,10:17:22,14.1,2.22
8/3/2022,10:17:23,14.1,2.23
8/3/2022,10:17:24,14.11,2.2
8/3/2022,10:17:25,14.11,2.23
8/3/2022,10:17:26,14.1,2.25
8/3/2022,10:17:27,14.1,2.26
8/3/2022,10:17:28,14.11,2.26
8/3/2022,10:17:29,14.11,2.24
8/3/2022,10:17:30,14.11,2.25
8/3/2022,10:17:31,14.1,2.24
8/3/2022,10:17:32,14.1,2.23
8/3/2022,10:17:33,14.1,2.23
8/3/2022,10:17:34,14.1,2.22
8/3/2022,10:17:35,14.1,2.21
8/3/2022,10:17:36,14.1,2.2
8/3/2022,10:17:37,14.09,2.2
8/3/2022,10:17:38,14.1,2.19
8/3/2022,10:17:39,14.1,2.22
8/3/2022,10:17:40,14.1,2.22
8/3/2022,10:17:41,14.1,2.21
8/3/2022,10:17:42,14.1,2.22
8/3/2022,10:17:43,14.1,2.23
8/3/2022,10:17:44,14.1,2.23
8/3/2022,10:17:45,14.1,2.25
8/3/2022,10:17:46,14.1,2.25
8/3/2022,10:17:47,14.1,2.25
8/3/2022,10:17:48,14.1,2.26
8/3/2022,10:17:49,14.1,2.25
8/3/2022,10:17:50,14.1,2.24
8/3/2022,10:17:51,14.1,2.23
8/3/2022,10:17:52,14.1,2.23
8/3/2022,10:17:53,14.11,2.22
8/3/2022,10:17:54,14.11,2.2
8/3/2022,10:17:55,14.11,2.21
8/3/2022,10:17:56,14.11,2.19
